"","Site","m","SC","rarefied","raw"
"BB.A","BB.A",54,0.8972,10.579,27
"BB.B","BB.B",15,0.8967,4.05,18
"BC.A","BC.A",30,0.8969,9.055,18
"BC.B","BC.B",19,0.8968,4.858,16
"CR.B","CR.B",10,0.9048,1.952,3
"ES.A","ES.A",25,0.8983,8.122,12
"ES.B","ES.B",21,0.8978,6.876,10
"FI.A","FI.A",1,0.975,1,7
"FI.B","FI.B",12,0.8983,3.563,9
"FR.A","FR.A",37,0.8961,10.414,19
"FR.B","FR.B",50,0.896,14.343,22
"IR.A","IR.A",1,0.9378,1,6
"IR.B","IR.B",28,0.8966,6.897,7
"JN.A","JN.A",7,0.905,2.87,14
"JN.B","JN.B",29,0.8966,6.775,19
"JS.A","JS.A",18,0.8978,6.041,10
"JS.B","JS.B",15,0.8962,5.101,13
"KO.A","KO.A",16,0.8961,4.783,17
"KO.B","KO.B",40,0.8955,8.841,16
"LI.1","LI.1",1,0.9323,1,12
"LI.2","LI.2",1,0.9282,1,10
"MA.A","MA.A",1,0.8861,1,7
"MA.B","MA.B",8,0.9016,2.464,7
"MX.A","MX.A",19,0.896,6.072,21
"MX.B","MX.B",19,0.8959,4.626,22
"NC.A","NC.A",75,0.8969,19.063,43
"NC.B","NC.B",49,0.8959,14.682,21
"NN.A","NN.A",38,0.8966,7,7
"NN.B","NN.B",11,0.895,3.655,8
"OR.A","OR.A",14,0.8949,4.54,8
"OR.B","OR.B",12,0.8995,3.277,8
"PO.A","PO.A",7,0.9015,2.581,15
"PO.B","PO.B",17,0.8974,4.977,6
"QU.A","QU.A",9,0.9001,2.362,6
"QU.B","QU.B",1,0.9525,1,6
"RU.A","RU.A",10308,1,2,2
"RU.B","RU.B",1,0.9762,1,3
"SD.A","SD.A",45,0.8966,11.313,32
"SD.B","SD.B",46,0.8971,11.398,30
"SF.A","SF.A",14,0.898,3.698,7
"SF.B","SF.B",19,0.8983,6.433,14
"SW.A","SW.A",13,0.8965,2.872,9
"SW.B","SW.B",11,0.9012,3.652,11
"UK.A","UK.A",6,0.8963,1.823,19
"UK.B","UK.B",14,0.8966,4.095,14
"VA.A","VA.A",23,0.8947,5.437,13
"VA.B","VA.B",19,0.8988,6.479,13
"WA.A","WA.A",55,0.8966,15.567,19
"WA.B","WA.B",30,0.8969,6.146,22
